name,ra,dec,fitting_bands_exclude,starsub_bands_exclude,fitting_min_semimaj_arcsec
NGC4608,190.3053,10.15578,,,86.52095269
NGC4612,190.38645,7.31485,,,77.11186756
NGC4618,190.3866,41.14891,,,106.4440051
NGC4621,190.5096,11.64702,,,137.1264463
NGC4624,191.27475,3.05518,,,137.1264463
NGC4625,190.4697,41.27384,,,42.37612401
NGC4627,190.49925,32.57361,,,70.32686523
NGC4629,190.6362,-1.35051,,,30.69878909
NGC4630,190.62975,3.9599,,,49.7876105
NGC4633,190.6554,14.35694,,,53.3483823
NGC4636,190.707,2.68762,,,189.2871826
NGC4638,190.69755,11.44244,,,68.72603185
NGC4639,190.71825,13.25704,,,86.52095269
NGC4643,190.8339,1.97828,,,67.16163784
NGC4647,190.8855,11.58221,,,82.62687199
NGC4649,190.9149,11.55259,,,202.8249127
NGC4651,190.92765,16.39339,,,116.7135525
NGC4654,190.98585,13.12657,,,140.3205285
NGC4656,190.9896,32.17016,,,193.6962432
NGC4660,191.13315,11.19053,,,62.6788915
NGC4666,191.286,-0.46186,,,150.3561866
